src_mac,dest_mac,eth_proto,src_ip,dst_ip,protocol,src_port,dst_port,packet
,,6,43512,443,6,,,"b'\x17\x03\x03\t\xce?\xd5%\xeam\x01\xff\xab\x0b\'\n\xe0\x17,Ic\xa1f\xde\xce\xeaF\xda\xa4q\x13\xfe\x92X\\\xf2\xd6an$\xfbE\xe8^\x08Pwp\xafx"" \xa8\xf9j\xbf\xea(\xda\x18\x07\xe2\x17\x81\xa8\xa1\x07\x9b\xdb\xeb\xc1\xafO\xb2\xca\x08\x0eMb\x98d92\x01f\x9f\xeaE\xdc\xb8\xd4\xb9\x0c\xd5=\xe5z\xe3(\x86\xb0\x8a\x07u\xd5\x08+\x089c\\\x1f;L\xee1.\x8f$\xd4\x9b\xb2\xb4\x10D\xcf]\x8a\x9fq\xac\x98\xaa\xdf\xf9\xbd\x903\x8ea\x9b\x89\xa8\x1b\x80\xb7s\xe5\xcf\xda\xa8\xaa\xe4\xed\x83\x1c\xbc\xdc\xa1)0l\xdd\xda\xea\x88G\xb19\xc1XT\rP\xd4`\xb78\xc2ZY\x96\xbe\x84\x81n\xf4\xb8m\xcf\xf6\x87(R|\xa6\x9a2=\xa4\xa7\x04\x9e\xb7\x13""\x9fL\xf7\xb11\xc4\x1f\xeb\x87\xf7\xe3X`\xba\xc225N\xf4\xfba{\xd65\x049\xdf\xb2\xbf\xfa\xcb\xa8\x03\x98\x8b\x12\xa4\xe6\xf6h\xc1\x1bH\x05\x8f3\xec\xc4Y&o\xfc\x95\x86\xc1\xe7Q\xa8+\x953?O\xc3\xe8\xf5\xaa2_\xd9\xbc\xa8mp\xa8}\xf0a3\xc9\xb9v\xbb\xac\x83o\x90mo/8[d\xc6\xb7j\xb1\x11\xc3e\x96i\x0clN\x96\x83\xeb9P\x0cK\xac\xae\xd9\x89(\xfb\x8b[m\xb6\xc9\x1a\xafN\xa5X*O\xb8.\x8doQS\x1a;6\x07z\xd5\xd0g32\xe8\xaa\xd3\x83d\xc4\xac\xe9_\x9e\xb3\x1f\xc7V\xd4\x016\xdb\xcai\x9eJ6/\xd8\xa2p\x01L~\x86\xaf\xd7\x9d\xbe\x024\xa0e$\xc0\xc4\xd6\xc4(\xa6 _\xcd\x89\xd7\xbbj^2\xb8\xcc""e\xad\xcc8*\xf04\x08\x89\xd3y\x87\xbb\xf0\xc0\x98;#\xd7\x14H+\x9b\x86\xd5\xaa\n\x9a\x1e\xd5\x83\xeeT1\x99P\x006/M\x88\x03C\xebS04t\xd9\xdfQ\x17MQsR\x06\xff\x8f\x9e\xad^\xf4~\xa5\xe1""\x91\xe8\xef4\xd03\xc1\xd5\x87u\xf6\xa3\xea\xd7|\x15W^\x85u\x92SE\xd0\xd6e\xb41\x86\x7fI\xa854\xd4s@\xa5\xd1\xf7^\xf0\x80\xf8\xd8wk\xb0\xdd\x9da\x8e\x1f:\x8a\xe9v|\x14\xb3\xc9n\x08\xa5N\x9d+<\xd6\' [\xff\xa1:o\x87\xe7\xb7\x16\xf3\x0f\xbd\x95\xe2\x8ej\x81v\xd5\xc1\x0e\x10\xf8\x9d\xf2\x87\x8a\xc7\xf5gM\xcb\xee#\xf4`\x16\xae7\xaf\xe5?\x8e%%\x00\xe4x\x1c\xc8\x05\x9b\xad,A$H-\x10\x1ct\xa2\xe0\xbcL8\xa6\x9c\x17v\xb3Y\x88 \xd8\xc2\x1b5F\xf89\xe2\xec1\xaf\xc2\x05r\x92o\x15\xc8ff\xe5vxz\xc6\xca\x04\x02\x82\xbbr\x0b_\xa6}\x8f\x9f\x96h{\x13y\xbd7\xc0\x10s\x9e\x90s\xe61P.\x9f\xbdqZ4\x05%\xee\xf2\xe4\xc0\xe2]\x8b\xa7a\x14\x80k\xbcl\xc6\xc5Q\x98\xec}\x83\xe3\x1e\x02\xad\x1d\x8f[\xdf}\x87\xc1\xf0\xc9\x0c\x93/\xb2\xd7\xe2\xd2\xd0\x88TcDG\x80\xd6\xcegf\xfd\x8c\x1b[E}\xd4\xed\xaejd\xdd\x0e!xC\xe4o1\xa0m\\\xb6=gJ\x00\x9a\x80\xaaQ8\x1aZ\xa8\xf1V\x93\t\xa20\xb85(v\xb9\x98\x155@\x13\xf1\x00\x04]\xd32\xf7\xcf!\x88\x83\x08\xea\x80\x11t\xd0\x91P\x9d\x15\xc2\x0c^\'x\xc86\x8e\xb1W\xaa\xa2\x97_-.\xa4\xff4L9.@&\xbeI\x08q\xf9\xbc\x0eS\xfdgr\xa9g\x8ec\t\xaf\xbe!\x9d\xe2\x0bvS\x9b\xbe\xd7\xc0\x0f\xab}\xb3G\x81\x98\xaa\xa7@Q\x03\x14\xea\'%YG\x8e\x1aG""`%\xb23\xf5\x8azT\xcd\xc7$\xfa\xa1\xe5\xdc\x99H\xe1\xad\xd8\xc7-Z\xf7\xda\n4\xe0\x92\xbdo\x02H#D\xdf\xc1\x08\x81=\t]\xf7\xe4\x8fR\x12\x87\x9d\r~\x85\xa4\xc3\x830\x1c\xf6\xfa@\xa1\xc3\xcb(\x94\xefWXL\xb6\x87\x02\xb4z\xaa\xaaF\xe7\xa7x2\xc3\xae\x1f\xe6\nr@\'\xb92\xa7`\x1et\xde\x8clI\xd3b\x8d\xb4\x8ed-\xa5\xd5\x89\xfa\xefx^!\xbb/eZ\x97\x92o2\x0c\xf3iqM}\x8a1\x81WfLk\xbb\xd3\xa1\xf0JX\x17I\xadS/RJ\xa6\x05\xd2H\x95\x81xD\x1bo\xb8\x994\xa1u\xabQ8\x85h\xb2\xac\x14\x0c\t\xf2\xa3\xce\x0e}\xbf\x14\x8b\x16\x98r\xde\xe7\x8b\xbf\xe6\x96\xfcZ!\x1b\xc4\xca\xab\xf1H\x00r\xb0>\x0b""\x94\x1c;\xe0\xd1\x92M*\x99\xf8\xac\xf6\xe6Xle%wp17:\xf5\n 3\xbfJ\xfd\x8a\x97s\xdfY\x05\xb5\x0e\xfc\x935K\x19\x08\x08\x99F\x1a\x16A\'\xedu\xef\xd4yJ9\xde2@\xaa\x06\xb1Xk\xcb\x9d\x9d\xcd\xc2F\x1a\xeb\xb2\x16\x9a\xbe\xb4g\xf6\xc6\xb7\x83\xc5\xa95SGT\xb91\x8e\x8d\xae\x90\xfa\xefR\x0fQ\x0cl\x9c\x03\xc0\xffOmv\xb0/\xec:\x99\xa4\xf3\xc0\xfb\x14,\x1aL\x82\xc5Z\xb1B.]\xca\xc3j\xdbY\xb4\xa6\x8e\xf1\x03\x00,\x19\xe3\xb0\xfc\x11\x15l\xa1\x9c\x14\x00\'F\xd2DHL\x91\xf6\xaf\xec\xaaw\xcc<=(\xca\xbcb\x18\x1a\xfeY\xb7\x0c\xac\xdc\x0f\xaa\xf8\x8e\xbc\x9a\xed\x08\xa0%\xc5\xd2\xa2!\x16\x8f\xfdI\xf7HC]\x95-\x04^6`\xac\x90\xa8H#%\xbf\xee\x10\xc4\xc4W5\xd7\xc8\xa3\xb9\xdd\xa9\xce-\xf7|\x84\x0f\xd9e\xcd\xf2\x8d\x1bwx\xeavf\xc0\x83A\xaaX\x97\x1d\xd4\x0ef\xc7np\x95\x94\xccL\x19\x9c\x1f\xb4\x8d\xa3\xca~(\xb1\xab@\x90\xa4\xed\xca\xcdk\xab\xc8{\xcb\xf3\xc8\xcd\xe66\xad\r\x82Q\xd5\xa0\x1f\xe3B\xa6\xf3\xf4\xcf\xcaBmo\xc85\x9f\xeeR\x0b\xb8\xa5\xc0EjR;\x85.,\x9f\xa7\x97\x93\xce}\xdf\xe4\xe7\xect\x8fK\xc5\xbeam""-\xbd]\xffP\xe0.\x18N\xb6\x9b\xf1A\xefR3\xae~\x91\xac\xe6(ND]\x99@U\xf6\r\x993$\xfa^\x86M\xa4V\x85!dON\x0e\x13\xc7\xa8\x07\xd3\rl\xe1\x17~Q\x9b/N\x8fNBC\xc4\x9a\xec\xc3\x8fX\x19\xe5\t\x0b\\\xa2\xe85m\xa3\xab\xd4\n\xfa\x93\xe5Sh\xd3\x1d\xe3[\x8f\x9d*\xf8\x7f\x1de\x7f\x01\xb9\x9dk[\xe0\xe0\xdd\xcf\x8d\xa5$J\x18\xf5(I\x17\x05\xf0\xde\xe7\xe4z\xa4M\xad\xbdgw34\r\xb8\x08v\x91\xf1\xed\xc6#\xea\x8c\xc0\x15l\xcaIT-I\x10\xb3\xed\xb8\xbc\xe0\x88%\xc0 \x8cw1\x7fh\x04\xdd\xf2M|8F\x8a\xb5C\xf4S\x05v[\x84\xbc\xb0#T\x1d\'\x04\xf9\xce{1k>_Q\x95\xbaj\x12\xc2[*\x8b\x03\xcb\xe2\xd1\xd4\xa4\xa3\xe3\xad\x84\xa2\xe8V\x89V\x960\xe1\xdc~\x80\x82\xe5`Ct\xe7e\xdbq\xbf\x9b\x1e\xc5m0\tJ`\x87\x18@\x9c\x81\x13r\x06lq5\x01>X2\x01\x00n\xcf\xaa\rg\xac""K\x10s \x18\xdc\xb8g\xfe\r\xe4\xd242\xd8""d\x13\xa7\x8e\xe0\xe3\x80(\xb4\xce{\xc35CI\x16\xdc\xed\xed*\xc8\xbfG\xb2\x8c\x81\x0f,\xbb\x0caA\xc1\xc5^\xaaS\xb3\x0c\xd7N\xc2tb\xf7\x9dg\x06L\r\xecx\x9e\x86\xa9\x936=\xcb\x85\xe2\xa77\xbe\x00\xd7\xa7\xa4d\x8f\xfd F\x8c\rI\x1c\xa5\xf0\x8e`B\xb8\xcf`\xc2\xf9l@j\xa9\x8d[\x88\x1b\xaf;J\xb3\xcc\x0cr""/\xc6@\x1d6\x0f %\x93\xd0\xb3\x8b\xb7\x0b\xe1\xee9\xc9\xb3\xd1\x97\xa2\xfd\xfd\xcd\x1f\xa6L\xc5Q\xb5\xbe2^:\xf7f\xe4\xf3$\xa1\xd0\x0f\x1d\xaa#\x99-\x0f\xfe\x9e\xc8\xc5\x9a$\xc2\xd6\r/6Y\xd2\xd6\xa2\xd6\x8a\xe3\x9e0\xdf\x9c\xe3\x0e\xd6\x16\x07\xc16D\xa4Z\xac\xb7\x05\x9fT\xdb\xd7\xf4\x1c\x13\x19x\x12\xab\x83N\x8eGlx\xc2 \x946\n\xd6^\x06d\x81\\\x9a;64\xf7\xfd\xa3\x0c\xa5\xb1*&T\x1f/P\xb5\x90=\xbb\x12-#\xd8d\xe7\xb0\x12\x1e\x97\x15\x03\x02\xd4\x90\x07\xdf\r6\xa9\xc0@Q\xdb\x0c?\x1eU\x7f\x0c\xf0\xa2\xa9O\xb7$E\x1aq\xfb\xe3G\xdb*\xc9\x94E\xd9\xec*#k\x86\x05\x94\xf8vS(\x8cS\x8f\xe1\xfcc\xaf\r\xbexy\xb7\x91U\x95\x85\x07\xdfJ,?y[\x8d\xc4<|\xa8\xe4\xd3_I6\xa4iR\xade\xde\xa2\x7f_\xc3\x9d\xcfR\xaf\x83\x87:\x1f_\xa2\xbb\x07\xba\xd0T@\xfd\nb*\xe3\xea\x95\xa6\xcb7\xe0v\x96N\xd9z\xba\xb5\xdc\xf8{\xb6)+\x8e\x0b&m3\x9a\xb3n\x82TG7\xe9\x9a\xd1A\xd9a\xf3\x81a!\xfbx+\x8d2\xad\xe3\x98\xd2\xfa}\'\xad\x8c\xb2\xeb)\xd9\x87\x99&P\xe2\x18a$\x1ak\x0eU\xd1\x8a\xb5W\x15\xa8\x15Mb\xf7\xe3\xf5\xcd\xa2\xc0f\xd1299;\xb3*+\xa7\x17SH\xd7}\xfa\xdf\x17\xb8g\x8f8\xd9\xe3R\xe3\x96\xf2\xdd\xd0\x0blu\x97q\xff\x8f8\xfcp\x8b\x0f8\xa5czn8\xcd?\x92\xc5\x0f\xd1\xee\x8f\xfa\xae \xc9M{\xc0\x06}H\xe7\x11B\xd9I;\xd1W2\xe3\xe9\x86.F%\xdcCq\xa2\x1eDiM\xfa\xf7\xe7\x1ah\xc9\x82z!\x85%O\xe5\x08\x14\xb8\xba\xaa\xb2\xaf\x18\xee\xfcr\x98\x11\xbd\xfd\xfee\xf2z\xaf\xbbMf\x90\xc6\xeb\x99\xd0.\xa2\xe7\xcb\xcbQ\x90\x85\xc6\xa2\xa9C\xf2\xc8N0\xd3\xee\n\x037\xe3\x90\xa6\xa1\r\xf9+u@\xde\xb5d\x02(\xb6!B\x03\xde\xc2\xbe\xf6\xe3\x90\x0e\xa4rx""\xc45)\x1d\xeb\xac\xe3\xe6\xa1\x1dt\xb0\xa0\x1c\x9e\xc6\xab\x05F\xd6\x97\xfd\x8f\x8d\xbf\xd19\xcd\x1d\x1d\xbfPx\x8f\xc7\xb9C\xcf\xf8T\xb1J\x1d^\x9b\xcc\xe5\x97XB6\x12\xa9M\xbb\x08/b#\x99p\xb3^\xfb\x15\xaaZ\xbc\x96\xeb\x0f\xf6\xee\xfca\xd9\xec,\x19\x98P(?\x10\xc4\x8f>\xe8\xfdh\xd5\x9f)\xad\x0e\xaf!\xb8 K\x8c_\x85\x7f\x11;\xa3I\x9e\x95I\x06/\x8d*\xf88}\xc4\xcf\\py\x84V*\x8dC\x84\x19\x83\x0b*\x06\x18_\xcd\x04\xcc\x93i\x94\x84\x15hA\xad\x1d\x9f\x17\x12*\x1f\xae\xddH\xcc\xb8g\x87\xab\xfc\xde\xe0\t\xed\x8f\x1c\xf9\x8c\xdf\x1c>\xe2\x19\xd1)\x8a1m_\x0bd_'"
52:54:00:12:35:00,08:00:27:1E:36:4A,8,,,,,,
 , ,6,23.33.245.71,10.0.2.4,6, , , 
,,6,443,43512,6,,,b'\x00\x00\x00\x00\x00\x00'
52:54:00:12:35:00,08:00:27:1E:36:4A,8,,,,,,
 , ,6,23.33.245.71,10.0.2.4,6, , , 
,,6,443,43512,6,,,"b""\x17\x03\x03\x01\x1a\xb9=\x97\xdf\xf9\xce.\x1d1z\xef\xde\x1aT\xbd\xb6\xc2\x05\xaeM\xe5WG|\xd4\xd5\xde\x8b5\xedQ\xf2._\x8d^B\x02\xadF/?\xfa\x7f\x92#\xb3#3\xbaO\xbe\x82\xb098\xf2\xcf!Q\xa3SRt\x0c\x04\xa3h\xcc\x0b\xb8.7g\x00gC{\xe0f\xfb\x1c\xea\x00\xee\xe1aFKT\x98D\x07Y\xa3v\xec\xc5\xae\xc0@I\x97\xe3\xebzt1\x9b\x15\xf0\x86\x19\xcd2\x11s.\xcd\x9aDj=\xc6\xe8H\xe6\\)\xc7\x92\xa8\x87\xe2\xde\xeb\x9ag\x87_\xb3\xba\x8c\x9d\xfe SVc=$\x8f\x9b|\xfd\xa1!YI\x16\xf5\xe5/\x8b_\xf2\x15R\xae!O\x84\xcb\xd5\xd5\xf15e\xf7>\xc3\x92\xe6\x8a\xa3\xa0,\xb4!=\xbdN\x05\xbe\xe9\x1ca3\x07\x95\xe7'\xdf\n\x05\x8fu3t\xf70\xd3K\x00u\xc0\x0ef<Q\x11*\xbe\xb3W~[\xd8\xe6mV\xa1e\xa2\xf9\xe5\xfa\x1d\x8e<\x845\xb8\x8c\xca\xb3h\xb5\xe8\x91\xe4P\xcb\x88\xbd\xb8\x9d\xa8\xe7\xc5u;$\xe7\xe56)\x10{\x0e\x11@\xa2<\xe1\xcc\xc5\x84Lr\xa3\xa7"""
08:00:27:1E:36:4A,52:54:00:12:35:00,8,,,,,,
 , ,6,10.0.2.4,23.33.245.71,6, , , 
,,6,43512,443,6,,,b''
